title,company,location,sector,description,contract_type,salary,posted_date,job_url,source_website
Professeure dallemand,GROUPE SCOLAIRE RENE DESCARTES,Tunis,enseignement / formation / puériculture,enseignement / formation / puériculture CDI CDD 1500 - 2000 TND,CDI,1500-2000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/19291/groupe-scolaire-rene-des-cartes/,keejob.com
Store Manager,Entreprise Anonyme,Tunis,CDI,CDI 1800 - 2800 TND,1800 - 2800 TND,1800-2800 TND,02/12/2025,https://www.keejob.com/offres-emploi/232224/store-manager-boutique-terrasse/,keejob.com
Directeur Commercial,HR HOUSE INTERNATIONAL,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/4313/hr-house-international/,keejob.com
commercial,ALLO COURSIER,Tunis,transport / logistique,transport / logistique SIVP 650 - 800 TND,SIVP,650-800 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/9391/allocoursier/,keejob.com
Chimiste en Formulation Capillaire,Entreprise Anonyme,Tunis,CDI,CDI 900 - 2500 TND,900 - 2500 TND,900-2500 TND,02/12/2025,https://www.keejob.com/offres-emploi/232228/chimiste-en-formulation-capillaire/,keejob.com
Developer,GENIUS GLOBAL TRADE,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/33625/genius-international-trade/,keejob.com
Contrôleur de gestion,PROCHIDIA,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/7236/prochidia/,keejob.com
Planificateur,SOTUBI,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/2820/sotubi/,keejob.com
Responsable Export,CRIT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/159/crit/,keejob.com
Chargée Trade Marketing N,SOTUCHOC,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11711/sotuchoc/,keejob.com
Assistante dentaire,CABINET DENTISTE DR ACHREF BOUTERAA,Tunis,santé / paramédical / optique,santé / paramédical / optique CDD Saisonnier 500 - 650 TND,CDD,500-650 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33770/cabinet-dentiste-dr-achref-bouteraa/,keejob.com
Chargée Marketing Site E-commerce,SOCIETE CONTADOR GENERAL,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI CDD,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/33753/societe-contador-general/,keejob.com
Team Leader Comptabilité - Litige -,VEO WORLDWIDE SERVICES,Tunis,consulting / étude / stratégie,consulting / étude / stratégie CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/13089/veo-worldwide-services/,keejob.com
Team Leader Comptabilité  Pôle Immobilier,VEO WORLDWIDE SERVICES,Tunis,consulting / étude / stratégie,consulting / étude / stratégie CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/13089/veo-worldwide-services/,keejob.com
Assistante de gestion,SOCIETE CONTADOR GENERAL,Tunis,commerce / vente / distribution,commerce / vente / distribution CDD SIVP,CDD,,02/12/2025,https://www.keejob.com/offres-emploi/companies/33753/societe-contador-general/,keejob.com
Technicien qualité,TECHNOFOOD INDUSTRIES SA,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI SIVP 1000 - 1100 TND,CDI,1000-1100 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33745/technofood-industries-sa/,keejob.com
Agents Logistique,PROLOGIC TUNISIE,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI SIVP 700 - 1200 TND,CDI,700-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33752/prologic-tunisie/,keejob.com
Ingénieur vie série  méthode Test FCT,ASTEELFLASH,Tunis,électronique / électricité / énergie,électronique / électricité / énergie CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11364/asteel-flash/,keejob.com
Responsable Formation et développement RH,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Directeur de Restauration,GROUPE STUNAS INDUSTRIES,Tunis,industrie métalliques,industrie métalliques CDD 1500 - 2000 TND,CDD,1500-2000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/15524/groupe-stunas-industries/,keejob.com
