title,company,location,sector,description,contract_type,salary,posted_date,job_url,source_website
CHEF DE DEPARTEMENT RH,PRINCE MEDICAL INDUSTRY,Tunis,santé / paramédical / optique,santé / paramédical / optique CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/12433/bpm/,keejob.com
Instrumentiste du Bloc Opératoire,AMEN SANTE,Tunis,santé / paramédical / optique,santé / paramédical / optique CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/15406/el-amen-sante/,keejob.com
Responsable de Plateau,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines 2000 - 2500 TND,2000 - 2500 TND,2000-2500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Customer Service Support,OUTSOURCIA,Tunis,call center / télévente,call center / télévente CDI SIVP 1000 - 1500 TND,CDI,1000-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/225/phoneact/,keejob.com
RECRUITMENT MARKETING SPECIALIST,TRANSCOM,Tunis,call center / télévente,call center / télévente CDI 2000 - 2500 TND,CDI,2000-2500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/4625/transcom/,keejob.com
Chargée de crédit,CFE TUNISIE,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP 800 - 1600 TND,CDI,800-1600 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8630/cfe-tunie/,keejob.com
Chef dAgence,EL AMEL MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/18459/el-amel-de-microfinance/,keejob.com
Chargée de recouvrement terrain,EL AMEL MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/18459/el-amel-de-microfinance/,keejob.com
Vendeur/ Caissier Zara Mall of Sousse,TUNTEX,Tunis,commerce / vente / distribution,commerce / vente / distribution 730 - 740 TND,730 - 740 TND,730-740 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/7292/tuntex/,keejob.com
Vendeur/ Caissier Bershka mall of Sousse,TUNTEX,Tunis,commerce / vente / distribution,commerce / vente / distribution 730 - 740 TND,730 - 740 TND,730-740 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/7292/tuntex/,keejob.com
Chargée Back Office,ADVANS TUNISIE MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/5169/advans-tunisie/,keejob.com
Administrateur ERP,HAMADI ABID,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/180/hamadi-abid/,keejob.com
Chef dAgence Bizerte,EL AMEL MICROFINANCE,Tunis,banque / finance / assurances,banque / finance / assurances CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/18459/el-amel-de-microfinance/,keejob.com
Manager département équipements énergétique,HR HOUSE INTERNATIONAL,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/4313/hr-house-international/,keejob.com
Technico-Commercial,HR HOUSE INTERNATIONAL,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/4313/hr-house-international/,keejob.com
Analyste  Contrôleur de gestion,CRIT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/159/crit/,keejob.com
ADDETTO RECUPERO CREDITI E ALLA FATTURAZIONE,ETAI TUNISIE/INFOPRO DIGITAL,Tunis,communication / publicité / média,communication / publicité / média CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/1228/infopro/,keejob.com
Assistante RH,Entreprise Anonyme,Tunis,CDI,CDI SIVP,SIVP,,02/12/2025,https://www.keejob.com/offres-emploi/231858/assistante-rh/,keejob.com
Oppératrice de Production,ELECTRONIC TUNISI SYSTEM,Tunis,électronique / électricité / énergie,électronique / électricité / énergie 500 - 700 TND,500 - 700 TND,500-700 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/22631/electronic-tunisie-system/,keejob.com
Commercial en Assurance télévente_Nabeul,SODEDIF NEOPRO,Tunis,call center / télévente,call center / télévente CDI SIVP 1200 - 1500 TND,CDI,1200-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/6816/groupe-sodedif/,keejob.com
Technicien électromécanique BTS,CRIT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/159/crit/,keejob.com
Assistante RH  Paie,ROSE BLANCHE GROUP,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/12393/recrutement-rhg/,keejob.com
Technico-Commerciale,CRIT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/159/crit/,keejob.com
Comptable Confirmé Comptabilité Française,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines 2000 - 2200 TND,2000 - 2200 TND,2000-2200 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
AGENT IMMOBILIER NABEUL,TECNOCASA GROUP,Tunis,architecture / immobilier / BTP,architecture / immobilier / BTP CDI CDD SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/15474/vinci-conseils-tecnocasa/,keejob.com
Directeur usine agroalimentaire Siliana,Entreprise Anonyme,Tunis,,No description available,,,02/12/2025,https://www.keejob.com/offres-emploi/231846/directeur-usine-agroalimentaire/,keejob.com
Conseillers Clients SOUSSE,TP,Tunis,informatique / télécoms,informatique / télécoms CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/2291/teleperformance/,keejob.com
Mécanicien confirmé,ETABLISSEMENTS ABDELMOULA,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI 1000 - 1200 TND,CDI,1000-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/15790/etablissements-abdelmoula/,keejob.com
Téléconseiller Service Client Multicanal,OUTSOURCIA,Tunis,call center / télévente,call center / télévente CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/225/phoneact/,keejob.com
Vendeur/ Caissier Massimo Dutti Mall of Sfax,TUNTEX,Tunis,commerce / vente / distribution,commerce / vente / distribution 730 - 740 TND,730 - 740 TND,730-740 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/7292/tuntex/,keejob.com
CHARGÉ DE RECOUVREMENT ET DE FACTURATION,ETAI TUNISIE/INFOPRO DIGITAL,Tunis,communication / publicité / média,communication / publicité / média CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/1228/infopro/,keejob.com
Enquêteurs téléphoniques - Excellent français,3C ETUDES,Tunis,call center / télévente,call center / télévente CDI CDD 1000 - 2000 TND,CDI,1000-2000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/5628/3c-etudes/,keejob.com
Warehouse Supervisor,HUBER SUHNER,Tunis,industrie électro-mécaniques,industrie électro-mécaniques CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/6665/huber-suhner/,keejob.com
Conseillers Clients FR/Réception dappel,ALMAVIVA,Tunis,call center / télévente,call center / télévente CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/991/almaviva/,keejob.com
CONSEILLERS CLIENTS ITALIEN,ALMAVIVA,Tunis,call center / télévente,call center / télévente CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/991/almaviva/,keejob.com
Téléconseillers/Salaire Net de 1000 DT,ALMAVIVA,Tunis,call center / télévente,call center / télévente CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/991/almaviva/,keejob.com
Gourmandise recrute Plusieurs Profils,GOURMANDISE,Tunis,tourisme / hôtellerie / restauration / loisirs,tourisme / hôtellerie / restauration / loisirs CDD SIVP 30 - 9999 TND,CDD,30-9999 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/148/gourmandise/,keejob.com
Plant Manager,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Responsable déquipe Réclamations H/F,SPB ISC,Tunis,banque / finance / assurances,banque / finance / assurances CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/424/spb-isc/,keejob.com
Responsable déquipe Réclamations H/F,SPB ISC,Tunis,banque / finance / assurances,banque / finance / assurances CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/424/spb-isc/,keejob.com
Gestionnaire Rétention  Fidélisation H/F,SPB ISC,Tunis,banque / finance / assurances,banque / finance / assurances CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/424/spb-isc/,keejob.com
Responsable Comptable Financier,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Téléprospecteur En Produit Bancaire,OUTSOURCIA,Tunis,call center / télévente,call center / télévente CDI SIVP 1400 - 1700 TND,CDI,1400-1700 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/225/phoneact/,keejob.com
Technicien Support IT,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines 1200 - 1400 TND,1200 - 1400 TND,1200-1400 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
ASSISTANTE RESSOURCES HUMAINES,OLYMPIA COMPANY,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI 700 - 800 TND,CDI,700-800 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/23213/lp-paint/,keejob.com
Quality System Engineer,HUBER SUHNER,Tunis,industrie électro-mécaniques,industrie électro-mécaniques CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/6665/huber-suhner/,keejob.com
Field Service Technician English-speaking,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines 2000 - 2500 TND,2000 - 2500 TND,2000-2500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Offre de Stage PFE 2026,ATTIJARI BANK,Tunis,banque / finance / assurances,banque / finance / assurances Stage/PFE,Stage/PFE,,02/12/2025,https://www.keejob.com/offres-emploi/companies/20883/attijari-bank/,keejob.com
Delivery Manager H/F,EVERIENCE,Tunis,informatique / télécoms,informatique / télécoms CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/2046/helpline/,keejob.com
Télévendeurs expérimentés en ENERGIE et TELCO,OUTSOURCIA,Tunis,call center / télévente,call center / télévente CDI SIVP 1200 - 2500 TND,CDI,1200-2500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/225/phoneact/,keejob.com
Ingénieur Maintenance  Automationpetroleum,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
RESPONSABLE CONTROLE DE GESTION,OLYMPIA COMPANY,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI 2000 - 3000 TND,CDI,2000-3000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/23213/lp-paint/,keejob.com
Télévendeurs Télécoms,COMETE TN.AI,Tunis,call center / télévente,call center / télévente CDI 1200 - 1400 TND,CDI,1200-1400 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33342/comete-tnai/,keejob.com
Cadre Commercial Terrain Hammamet,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI 1800 - 2000 TND,CDI,1800-2000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
HRD Supervisor  International Company,Entreprise Anonyme,Tunis,CDI,CDI 499 - 500 TND,499 - 500 TND,499-500 TND,02/12/2025,https://www.keejob.com/offres-emploi/231190/hrd-supervisor-international-company/,keejob.com
Responsable Financier,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Technicien Outillage et Métrologie,HUBER SUHNER,Tunis,industrie électro-mécaniques,industrie électro-mécaniques CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/6665/huber-suhner/,keejob.com
Responsable Ressources Humaines,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines CDI 2300 - 2600 TND,CDI,2300-2600 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Gestionnaire de paie et comptable,Entreprise Anonyme,Tunis,CDI,CDI SIVP 1000 - 3500 TND,SIVP,1000-3500 TND,02/12/2025,https://www.keejob.com/offres-emploi/231028/gestionnaire-de-paie-et-comptable/,keejob.com
Legal Officer,BANK ABC,Tunis,banque / finance / assurances,banque / finance / assurances CDI CDD,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11980/abc-bank/,keejob.com
SMEs Relationship Manager - Sfax,BANK ABC,Tunis,banque / finance / assurances,banque / finance / assurances CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11980/abc-bank/,keejob.com
Retail Relationship Manager - Sfax,BANK ABC,Tunis,banque / finance / assurances,banque / finance / assurances CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11980/abc-bank/,keejob.com
Corporate Services Officer,BANK ABC,Tunis,banque / finance / assurances,banque / finance / assurances CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11980/abc-bank/,keejob.com
REPRESENTANTS COMMERCIAUX A LINTERNATIONAL,DEUTSCHCOLOR,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/17517/deutschcolor/,keejob.com
Veilleur de nuit,HÔTEL KYRIAD PRESTIGE TUNIS,Tunis,tourisme / hôtellerie / restauration / loisirs,tourisme / hôtellerie / restauration / loisirs 888 - 999 TND,888 - 999 TND,888-999 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/32765/kyriad-prestige-city-center-tunis/,keejob.com
Ingénieur Génie Civil,SOCIETE DES TRAVAUX NORD,Tunis,autres,autres CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/33864/societe-des-travaux-nord/,keejob.com
Assistante Accueil,STRAM,Tunis,architecture / immobilier / BTP,architecture / immobilier / BTP SIVP,SIVP,,02/12/2025,https://www.keejob.com/offres-emploi/companies/23820/stram/,keejob.com
Pilote des projets en Génie Civil,POULINA GROUP HOLDING,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/198/poulina-group-holding/,keejob.com
Assistante Support Vente - Sousse,VEO WORLDWIDE SERVICES,Tunis,consulting / étude / stratégie,consulting / étude / stratégie CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/13089/veo-worldwide-services/,keejob.com
Technicien Maintenance Mécanique-BJO,CARTHAGO SANITAIRE,Tunis,autres,autres CDI 800 - 1500 TND,CDI,800-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/28304/ste-carthago-sanitaire/,keejob.com
Conseillers en Relations Humaines,TANIS,Tunis,call center / télévente,call center / télévente CDI SIVP 900 - 1500 TND,CDI,900-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/2054/argos/,keejob.com
Conseiller en immobilier,TECNOCASA LES JARDIN DEL MENZAH,Tunis,architecture / immobilier / BTP,architecture / immobilier / BTP 700 - 1000 TND,700 - 1000 TND,700-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/22774/tecnocasa-les-jardin-del-menzah/,keejob.com
secrétaire médicale,CABINET DR HAJER JEBRI,Tunis,santé / paramédical / optique,santé / paramédical / optique SIVP 500 - 501 TND,SIVP,500-501 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/20502/jebri-dental-group/,keejob.com
Conseiller en Immobilier,TECNOCASA LES BERGES DU LAC 1,Tunis,architecture / immobilier / BTP,architecture / immobilier / BTP CDI SIVP 700 - 1500 TND,CDI,700-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/14820/tecnocasa-lac-1/,keejob.com
Assistant e commercial,NOUVELLE TECHNOLOGIE DE REPARATION,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI SIVP 700 - 1000 TND,CDI,700-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/30157/nouvelle-technologie-de-reparation/,keejob.com
Technicien Électricien Automobile,Entreprise Anonyme,Tunis,800 - 1100 TND,800 - 1100 TND,,800-1100 TND,02/12/2025,https://www.keejob.com/offres-emploi/232719/technicien-electricite-auto/,keejob.com
Assistante Administrative,CPN,Tunis,enseignement / formation / puériculture,enseignement / formation / puériculture SIVP 480 - 500 TND,SIVP,480-500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/1378/cpn/,keejob.com
Dir des Opérations H/F Centre de contact,ACTIVE CONTACT,Tunis,call center / télévente,call center / télévente CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/891/active-contact/,keejob.com
Télévendeurs es Telco,ACTIVE CONTACT,Tunis,call center / télévente,call center / télévente CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/891/active-contact/,keejob.com
Télévendeurs en émission dappels énergie,ACTIVE CONTACT,Tunis,call center / télévente,call center / télévente CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/891/active-contact/,keejob.com
Comptable,RAWAND PRINT,Tunis,communication / publicité / média,communication / publicité / média CDI CDD SIVP 900 - 1000 TND,CDI,900-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33868/rawand-print/,keejob.com
Assistante Administrative,RAWAND PRINT,Tunis,communication / publicité / média,communication / publicité / média CDI CDD SIVP 600 - 800 TND,CDI,600-800 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33868/rawand-print/,keejob.com
Ingénieur QA Automatisation,BINITNS,Tunis,consulting / étude / stratégie,consulting / étude / stratégie,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/20695/binitns/,keejob.com
Chef de Réception,GROUPE STUNAS INDUSTRIES,Tunis,industrie métalliques,industrie métalliques CDD 1300 - 1900 TND,CDD,1300-1900 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/15524/groupe-stunas-industries/,keejob.com
Gouvernante Générale,GROUPE STUNAS INDUSTRIES,Tunis,industrie métalliques,industrie métalliques CDD 1800 - 2200 TND,CDD,1800-2200 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/15524/groupe-stunas-industries/,keejob.com
Mécanicien service rapide,SRARFI AUTO,Tunis,automobile / moteurs / engins mécaniques,automobile / moteurs / engins mécaniques CDI SIVP 600 - 800 TND,CDI,600-800 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/14942/bosch-car-service-la-marsa/,keejob.com
Ingénieur Java Junior,BINITNS,Tunis,consulting / étude / stratégie,consulting / étude / stratégie,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/20695/binitns/,keejob.com
Ingénieur Java Senior,BINITNS,Tunis,consulting / étude / stratégie,consulting / étude / stratégie,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/20695/binitns/,keejob.com
Assistant RH/Comptabilité CIVP,PARTNER RECRUITMENT,Tunis,recrutement / ressources humaines,recrutement / ressources humaines,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/8961/kpg-recrutement/,keejob.com
Commercial Immobilier,SOCIETE DES TRAVAUX NORD,Tunis,autres,autres CDI 500 - 10000 TND,CDI,500-10000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33864/societe-des-travaux-nord/,keejob.com
Métreur en Génie Civil,SOCIETE DES TRAVAUX NORD,Tunis,autres,autres CDI 500 - 10000 TND,CDI,500-10000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33864/societe-des-travaux-nord/,keejob.com
Comptable,SOCIETE DES TRAVAUX NORD,Tunis,autres,autres CDI 500 - 10000 TND,CDI,500-10000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33864/societe-des-travaux-nord/,keejob.com
Assistante commerciale,SMARTADVISING,Tunis,informatique / télécoms,informatique / télécoms CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/31995/smartadvising/,keejob.com
Commercial,Entreprise Anonyme,Tunis,CDI,CDI 800 - 1500 TND,800 - 1500 TND,800-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/232760/commercial/,keejob.com
Technicien en climatisation et plomberie,Entreprise Anonyme,Tunis,SIVP,SIVP Stage/PFE 800 - 1000 TND,Stage/PFE,800-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/232756/techniciens-bts-en-climatisation-et-plomberie/,keejob.com
Responsable Contrôle interne et Evaluation,KARMEX,Tunis,automobile / moteurs / engins mécaniques,automobile / moteurs / engins mécaniques CDI 1000 - 1200 TND,CDI,1000-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/27756/karmex-sarl/,keejob.com
Comptable,NETWORKING AND COMPUTING RESOURCES,Tunis,informatique / télécoms,informatique / télécoms CDI 1200 - 1500 TND,CDI,1200-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33867/networking-and-computing-resources/,keejob.com
Chargées de Conduite dActivité,COMETE TN.AI,Tunis,call center / télévente,call center / télévente CDI 1000 - 1100 TND,CDI,1000-1100 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33342/comete-tnai/,keejob.com
Coordinateur Qualité Produit,ETABLISSEMENTS ABDELMOULA,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI 1200 - 1500 TND,CDI,1200-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/15790/etablissements-abdelmoula/,keejob.com
Préparateur Peinture AUTO,Entreprise Anonyme,Tunis,CDI,CDI CDD SIVP Saisonnier 900 - 1200 TND,CDD,900-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/232774/pr%C3%A9parateur-peinture-auto/,keejob.com
TECHNICIEN SUPERIEUR MAINTENANCE,Entreprise Anonyme,Tunis,CDI,CDI,,,02/12/2025,https://www.keejob.com/offres-emploi/232755/technicien-superieur-maintenance/,keejob.com
Responsable Stabilité,LABORATOIRE THERA,Tunis,santé / paramédical / optique,santé / paramédical / optique CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/17388/laboratoire-thera/,keejob.com
Customer Service Representative - GERMAN,TRANSCOM,Tunis,call center / télévente,call center / télévente CDI 1000 - 2000 TND,CDI,1000-2000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/4625/transcom/,keejob.com
Pharmacien assistant,PHARMACIE KASTALLI NAJWA,Tunis,santé / paramédical / optique,santé / paramédical / optique CDD SIVP 1500 - 1800 TND,CDD,1500-1800 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33862/pharmacie-kastalli-najwa/,keejob.com
Chargée de Recrutement  RH,ASR développement,Tunis,informatique / télécoms,informatique / télécoms CDI 800 - 1400 TND,CDI,800-1400 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/9538/asr-d%C3%A9veloppement/,keejob.com
Comptable H/F,AGENZ,Tunis,agriculture / agro-alimentaire / environnement,agriculture / agro-alimentaire / environnement CDI 1200 - 1800 TND,CDI,1200-1800 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/28287/agenz-sarl/,keejob.com
Soudeur,AM.SYSTEM,Tunis,industrie métalliques,industrie métalliques CDI CDD SIVP 500 - 800 TND,CDI,500-800 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33801/amsystem/,keejob.com
Technicien de production,Entreprise Anonyme,Tunis,CDI,CDI SIVP 800 - 1100 TND,SIVP,800-1100 TND,02/12/2025,https://www.keejob.com/offres-emploi/232681/technicien-technicien-superieur-maint-prod/,keejob.com
Responsable SAV en Electroménager,Entreprise Anonyme,Tunis,CDI,CDI 800 - 1000 TND,800 - 1000 TND,800-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/232695/responsable-sav-en-electrom%C3%A9nager/,keejob.com
AGENT IMMOBILIER TECNOCASA EL MENZAH 9,TECNOCASA GROUP,Tunis,architecture / immobilier / BTP,architecture / immobilier / BTP CDI CDD SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/15474/vinci-conseils-tecnocasa/,keejob.com
Maintenancier,OPTY LAB,Tunis,santé / paramédical / optique,santé / paramédical / optique,,,02/12/2025,https://www.keejob.com/offres-emploi/companies/793/opty-lab/,keejob.com
Magasinier,DOUDECH DE CREATION,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI CDD 800 - 1000 TND,CDI,800-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/25245/ste-doudech-de-creation-sakany/,keejob.com
Ouvrier,AM.SYSTEM,Tunis,industrie métalliques,industrie métalliques CDI CDD SIVP 500 - 800 TND,CDI,500-800 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33801/amsystem/,keejob.com
Collaboratrices comptabilité française,AUDIT AND BUSINESS SERVICES,Tunis,comptabilité / gestion / audit,comptabilité / gestion / audit CDI SIVP 1000 - 1200 TND,CDI,1000-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/19877/audit-and-business-services/,keejob.com
Livreur,PARASHOP,Tunis,santé / paramédical / optique,santé / paramédical / optique CDI 700 - 800 TND,CDI,700-800 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/32469/parashop/,keejob.com
Graphiste,SOTUQAM,Tunis,commerce / vente / distribution,commerce / vente / distribution CDD SIVP 700 - 1000 TND,CDD,700-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/12785/sotuqam/,keejob.com
assistance commerciale,ZIOUZIOU DECO,Tunis,commerce / vente / distribution,commerce / vente / distribution CDI SIVP 600 - 800 TND,CDI,600-800 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/33324/ste-ziouziou-deco/,keejob.com
Déclarant En Douane,Entreprise Anonyme,Tunis,SIVP,SIVP 467 - 500 TND,467 - 500 TND,467-500 TND,02/12/2025,https://www.keejob.com/offres-emploi/232668/declarante-en-douane-civp/,keejob.com
Soudeur Qualifié  Construction Métallique,Entreprise Anonyme,Tunis,CDI,CDI SIVP 900 - 1200 TND,SIVP,900-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/232678/soudeur-qualifi%C3%A9-construction-m%C3%A9tallique/,keejob.com
Tech. Supérieur en Construction Métallique,Entreprise Anonyme,Tunis,CDI,CDI SIVP 1200 - 1700 TND,SIVP,1200-1700 TND,02/12/2025,https://www.keejob.com/offres-emploi/232677/tech-sup%C3%A9rieur-en-construction-m%C3%A9tallique/,keejob.com
Assistante en Comptabilité,Entreprise Anonyme,Tunis,CDI,CDI SIVP 600 - 900 TND,SIVP,600-900 TND,02/12/2025,https://www.keejob.com/offres-emploi/232679/assistante-en-comptabilit%C3%A9/,keejob.com
INGENIEUR CHIMIE,Entreprise Anonyme,Tunis,CDI,CDI CDD,CDD,,02/12/2025,https://www.keejob.com/offres-emploi/232629/ingenieur-chimie/,keejob.com
